id,prolific_pid,event_type,payload,created_at
3,test_prolific_123,reading_start,"{""text_id"": ""textA3"", ""timestamp"": 1234567}",2026-06-11 15:01:56
4,test_prolific_123,final_submission,"{""prolific_pid"": ""test_prolific_123"", ""lextale_score"": 75.0, ""cefr_level"": ""B2"", ""text_format"": ""TF"", ""sequence"": ""B"", ""text_pair"": ""pair_4"", ""readings"": [{""text_id"": ""textB4"", ""condition"": ""wordahead"", ""reading_time_ms"": 15000, ""hover_events"": [{""word"": ""the"", ""dwell_ms"": 200, ""translation_shown"": false}], ""comprehension"": [{""question_id"": ""q1_1"", ""selected"": ""Convenience and flexibility"", ""correct"": true}]}, {""text_id"": ""textA4"", ""condition"": ""plain"", ""reading_time_ms"": 20000, ""hover_events"": [], ""comprehension"": []}], ""surveys"": {""sus"": {""0"": 5, ""1"": 2}, ""nasa_tlx"": {""mental_demand"": 3}, ""wa_specific"": {""q1"": 4}, ""demographics"": {""age"": ""18_24"", ""gender"": ""female"", ""native_language"": ""Hebrew"", ""other_languages"": """", ""years_studying_english"": ""10"", ""course_level"": ""undergrad"", ""academic_year"": ""2nd"", ""field_of_study"": ""CS""}}}",2026-06-11 15:01:56
10,PROLIFIC_TEST_USER,consent_given,"{""timestamp"": 1781190533831}",2026-06-11 15:08:53
11,PROLIFIC_TEST_USER,lextale_completed,"{""score"": 100, ""cefr_level"": ""B2""}",2026-06-11 15:25:11
12,PROLIFIC_TEST_USER,consent_given,"{""timestamp"": 1781191621618}",2026-06-11 15:27:01
17,TEST_PROLIFIC_PID_XYZ,hover_word,"{""word"": ""testword"", ""dwell_ms"": 450}",2026-06-13 10:15:39
18,TEST_PROLIFIC_PID_XYZ,final_submission,"{""prolific_pid"": ""TEST_PROLIFIC_PID_XYZ"", ""lextale_score"": 67.5, ""cefr_level"": ""B2"", ""text_format"": ""TS"", ""sequence"": ""A"", ""text_pair"": ""pair_3"", ""readings"": [{""text_id"": ""textA3"", ""condition"": ""wordahead"", ""reading_time_ms"": 124500, ""hover_events"": [{""word"": ""hypothesis"", ""dwell_ms"": 500}], ""comprehension"": [{""question_id"": ""q1_1"", ""selected"": ""Option A"", ""correct"": true}, {""question_id"": ""q1_2"", ""selected"": ""Option B"", ""correct"": false}]}, {""text_id"": ""textB3"", ""condition"": ""plain"", ""reading_time_ms"": 98400, ""hover_events"": [], ""comprehension"": [{""question_id"": ""q2_1"", ""selected"": ""Option C"", ""correct"": true}]}], ""surveys"": {""sus"": {""q1"": 5, ""q2"": 4}, ""nasa_tlx"": {""mental_demand"": 50, ""physical_demand"": 10, ""temporal_demand"": 30, ""performance"": 80, ""effort"": 60, ""frustration"": 20}, ""wa_specific"": {""translation_helpfulness"": 5, ""highlights_helpfulness"": 4, ""distraction"": 2}, ""demographics"": {""age"": ""25"", ""gender"": ""Female"", ""native_language"": ""Spanish"", ""years_english"": ""10+""}}}",2026-06-13 10:15:39
19,test_pid,final_submission,"{""prolific_pid"": ""test_pid"", ""lextale_score"": 50.0, ""cefr_level"": ""B2"", ""text_format"": ""TF"", ""sequence"": ""A"", ""text_pair"": ""pair_1"", ""readings"": [], ""surveys"": {""per_task_1"": {""pt_a1"": 5}, ""per_task_2"": {""pt_a1"": 4}, ""post_study"": {""responses"": {}, ""open_text_responses"": {}, ""ranking"": {""most_helpful"": ""plain""}}, ""demographics"": {""age"": ""18-24"", ""gender"": ""Male"", ""native_language"": ""Spanish"", ""other_languages"": """"}}}",2026-06-18 12:59:26
20,test_ui_agent,consent_given,"{""timestamp"": 1781787821190}",2026-06-18 13:03:41
21,test_ui_agent,consent_given,"{""timestamp"": 1781787931963}",2026-06-18 13:05:31
22,test_user_123,final_submission,"{""prolific_pid"": ""test_user_123"", ""lextale_score"": 60.0, ""cefr_level"": ""B2"", ""text_format"": ""TF"", ""sequence"": ""A"", ""text_pair"": ""1_2"", ""readings"": [{""text_id"": ""text1"", ""condition"": ""plain"", ""reading_time_ms"": 120000, ""hover_events"": [{""word"": ""test"", ""translation_shown"": true}], ""click_events"": [{""word"": ""click_test""}], ""click_count"": 1, ""unique_words_translated"": 2, ""comprehension"": []}, {""text_id"": ""text2"", ""condition"": ""wordahead"", ""reading_time_ms"": 150000, ""hover_events"": [], ""click_events"": [], ""click_count"": 0, ""unique_words_translated"": 0, ""comprehension"": []}], ""surveys"": {""per_task_1"": {""ac_mid"": 7}, ""per_task_2"": {""ac_late"": 1}, ""post_study"": {}, ""demographics"": {""age"": ""25-34"", ""gender"": ""male"", ""native_language"": ""\u05e2\u05d1\u05e8\u05d9\u05ea"", ""ac_early"": ""1""}}}",2026-06-18 13:45:01
27,test_pid,final_submission,"{""prolific_pid"": ""test_pid"", ""lextale_score"": 50.0, ""cefr_level"": ""B2"", ""text_format"": ""TF"", ""sequence"": ""A"", ""text_pair"": ""pair_1"", ""readings"": [], ""surveys"": {""per_task_1"": {""pt_a1"": 5}, ""per_task_2"": {""pt_a1"": 4}, ""post_study"": {""responses"": {}, ""open_text_responses"": {}, ""ranking"": {""most_helpful"": ""plain""}}, ""demographics"": {""age"": ""18-24"", ""gender"": ""Male"", ""native_language"": ""Spanish"", ""other_languages"": """"}}}",2026-06-18 14:03:48
30,test_pid,final_submission,"{""prolific_pid"": ""test_pid"", ""lextale_score"": 50.0, ""cefr_level"": ""B2"", ""text_format"": ""TF"", ""sequence"": ""A"", ""text_pair"": ""pair_1"", ""readings"": [], ""surveys"": {""per_task_1"": {""pt_a1"": 5}, ""per_task_2"": {""pt_a1"": 4}, ""post_study"": {""responses"": {}, ""open_text_responses"": {}, ""ranking"": {""most_helpful"": ""plain""}}, ""demographics"": {""age"": ""18-24"", ""gender"": ""Male"", ""native_language"": ""Spanish"", ""other_languages"": """"}}}",2026-06-18 14:34:22
33,test_pid,final_submission,"{""prolific_pid"": ""test_pid"", ""lextale_score"": 50.0, ""cefr_level"": ""B2"", ""text_format"": ""TF"", ""sequence"": ""A"", ""text_pair"": ""pair_1"", ""readings"": [], ""surveys"": {""per_task_1"": {""pt_a1"": 5}, ""per_task_2"": {""pt_a1"": 4}, ""post_study"": {""responses"": {}, ""open_text_responses"": {}, ""ranking"": {""most_helpful"": ""plain""}}, ""demographics"": {""age"": ""18-24"", ""gender"": ""Male"", ""native_language"": ""Spanish"", ""other_languages"": """"}}}",2026-06-18 14:34:54
37,test_pid,final_submission,"{""prolific_pid"": ""test_pid"", ""lextale_score"": 50.0, ""cefr_level"": ""B2"", ""text_format"": ""TF"", ""sequence"": ""A"", ""text_pair"": ""pair_1"", ""readings"": [], ""surveys"": {""per_task_1"": {""pt_a1"": 5}, ""per_task_2"": {""pt_a1"": 4}, ""post_study"": {""responses"": {}, ""open_text_responses"": {}, ""ranking"": {""most_helpful"": ""plain""}}, ""demographics"": {""age"": ""18-24"", ""gender"": ""Male"", ""native_language"": ""Spanish"", ""other_languages"": """"}}}",2026-06-18 14:39:34
41,test_pid,final_submission,"{""prolific_pid"": ""test_pid"", ""lextale_score"": 50.0, ""cefr_level"": ""B2"", ""text_format"": ""TF"", ""sequence"": ""A"", ""text_pair"": ""pair_1"", ""readings"": [], ""surveys"": {""per_task_1"": {""pt_a1"": 5}, ""per_task_2"": {""pt_a1"": 4}, ""post_study"": {""responses"": {}, ""open_text_responses"": {}, ""ranking"": {""most_helpful"": ""plain""}}, ""demographics"": {""age"": ""18-24"", ""gender"": ""Male"", ""native_language"": ""Spanish"", ""other_languages"": """"}}}",2026-06-18 17:47:40
72,test_pid,final_submission,"{""prolific_pid"": ""test_pid"", ""lextale_score"": 50.0, ""cefr_level"": ""B2"", ""text_format"": ""TF"", ""sequence"": ""A"", ""text_pair"": ""pair_1"", ""readings"": [], ""surveys"": {""per_task_1"": {""pt_a1"": 5}, ""per_task_2"": {""pt_a1"": 4}, ""post_study"": {""responses"": {}, ""open_text_responses"": {}, ""ranking"": {""most_helpful"": ""plain""}}, ""demographics"": {""age"": ""18-24"", ""gender"": ""Male"", ""native_language"": ""Spanish"", ""other_languages"": """"}}}",2026-06-21 06:56:58
82,string,string,"{""additionalProp1"": {}}",2026-06-21 07:42:17
83,test_pid,final_submission,"{""prolific_pid"": ""test_pid"", ""lextale_score"": 50.0, ""cefr_level"": ""B2"", ""text_format"": ""TF"", ""sequence"": ""A"", ""text_pair"": ""pair_1"", ""readings"": [], ""surveys"": {""per_task_1"": {""pt_a1"": 5}, ""per_task_2"": {""pt_a1"": 4}, ""post_study"": {""responses"": {}, ""open_text_responses"": {}, ""ranking"": {""most_helpful"": ""plain""}}, ""demographics"": {""age"": ""18-24"", ""gender"": ""Male"", ""native_language"": ""Spanish"", ""other_languages"": """"}}}",2026-06-21 07:48:35
84,test_pid,final_submission,"{""prolific_pid"": ""test_pid"", ""lextale_score"": 50.0, ""cefr_level"": ""B2"", ""text_format"": ""TF"", ""sequence"": ""A"", ""text_pair"": ""pair_1"", ""readings"": [], ""surveys"": {""per_task_1"": {""pt_a1"": 5}, ""per_task_2"": {""pt_a1"": 4}, ""post_study"": {""responses"": {}, ""open_text_responses"": {}, ""ranking"": {""most_helpful"": ""plain""}}, ""demographics"": {""age"": ""18-24"", ""gender"": ""Male"", ""native_language"": ""Spanish"", ""other_languages"": """"}}}",2026-06-21 07:48:51
